"elementType";"token";"sem"
6;"balde";"2"
3;"nachos";"7"
2;"muñeco";"6"
3;"nevera";"8"
7;"xxxxxx";"0"
3;"naipes";"8"
4;"setas";"11"
2;"máscara";"6"
6;"bombón";"1"
6;"bizcocho";"1"
4;"sobre";"12"
7;"xxxx";"0"
1;"pasas";"9"
2;"melón";"5"
1;"pañuelo";"10"
3;"naranja";"7"
4;"soga";"12"
5;"farol";"4"
3;"nudo";"8"
5;"funda";"4"
6;"violín";"2"
1;"paella";"9"
7;"xxxx";"0"
7;"xxxxxxx";"0"
3;"navaja";"8"
6;"boina";"2"
7;"xxxxxxxx";"0"
6;"bombilla";"2"
2;"mazapán";"5"
2;"manguera";"6"
5;"fajitas";"3"
5;"ficha";"4"
7;"xxxxxx";"0"
2;"martillo";"6"
5;"fideos";"3"
2;"mantequilla";"5"
4;"sandía";"11"
1;"pavo";"9"
6;"bocadillo";"1"
6;"bacalao";"1"
5;"fabada";"3"
4;"sable";"12"
6;"bolígafo";"2"
4;"sello";"12"
3;"nata";"7"
1;"palillo";"10"
2;"manzana";"5"
2;"monitor";"6"
1;"paraguas";"10"
3;"nectarina";"7"
7;"xxxxx";"0"
1;"pala";"10"
5;"fúsil";"4"
7;"xxxxxxxxxxx";"0"
5;"filtro";"4"
4;"salchicha";"11"
4;"sopa";"11"
2;"mango";"5"
7;"xxxxx";"0"
4;"salmón";"11"
7;"xxxxxxxx";"0"
5;"fondúe";"3"
1;"pollo";"9"
3;"neceser";"8"
3;"nuez";"7"
4;"sartén";"12"
1;"pincel";"10"
6;"vinagre";"1"
5;"filete";"3"
1;"paletilla";"9"
